order_id,customer_id,order_date,status,region_code
1,306,2023-10-20 14:34:22,PLACED,SOUTH
2,59,2025-07-21 02:51:46,DELIVERED,EAST
3,144,2023-02-09 13:02:28,DELIVERED,EAST
4,266,2024-10-12 05:15:35,DELIVERED,NORTH
5,598,2025-06-07 15:17:15,CANCELLED,EAST
6,228,2025-12-02 03:47:37,DELIVERED,WEST
7,368,2025-02-27 02:04:07,DELIVERED,SOUTH
8,572,2023-10-09 09:14:03,SHIPPED,WEST
9,132,2024-02-06 19:14:23,DELIVERED,CENTRAL
10,188,2025-11-21 21:30:49,CANCELLED,NORTH
11,228,2024-07-05 21:55:30,SHIPPED,EAST
12,431,2024-05-29 16:23:53,DELIVERED,CENTRAL
13,302,2024-12-21 10:14:57,CANCELLED,WEST
14,55,2025-09-12 12:01:29,DELIVERED,CENTRAL
15,73,2025-01-03 13:37:32,CANCELLED,CENTRAL
16,,2023-07-06 03:03:42,CANCELLED,WEST
17,543,2024-04-08 11:30:31,DELIVERED,SOUTH
18,141,2023-11-08 03:35:53,DELIVERED,CENTRAL
19,469,2023-08-11 11:47:00,DELIVERED,SOUTH
20,83,2025-01-27 10:19:53,DELIVERED,SOUTH
21,321,2025-09-12 15:50:10,PLACED,WEST
22,281,2023-11-22 06:20:25,DELIVERED,SOUTH
23,591,2023-09-04 02:53:21,DELIVERED,NORTH
24,133,2025-08-12 13:27:54,DELIVERED,WEST
25,414,2024-10-28 11:13:40,RETURNED,WEST
26,5,2023-02-28 14:30:06,DELIVERED,EAST
27,15,2024-05-15 12:58:34,DELIVERED,CENTRAL
28,196,2023-01-28 19:57:41,DELIVERED,SOUTH
29,232,2025-12-13 08:28:35,CANCELLED,EAST
30,133,2023-06-09 13:14:24,DELIVERED,CENTRAL
31,314,2023-09-17 00:00:00,PLACED,NORTH
32,306,2024-03-27 18:50:45,DELIVERED,CENTRAL
33,537,2024-06-08 19:24:26,DELIVERED,SOUTH
34,351,2025-01-31 11:11:09,DELIVERED,SOUTH
35,169,2024-09-18 00:00:00,PLACED,SOUTH
36,135,2023-11-25 01:44:32,DELIVERED,CENTRAL
37,517,2023-09-20 00:00:00,PLACED,NORTH
38,385,2025-09-21 16:54:01,SHIPPED,CENTRAL
39,50,2025-07-11 15:05:38,RETURNED,NORTH
40,21,2023-03-16 22:19:59,DELIVERED,WEST
41,455,2024-08-13 16:53:16,PLACED,EAST
42,486,2025-12-26 07:32:37,SHIPPED,NORTH
43,309,2024-10-15 19:13:30,DELIVERED,CENTRAL
44,277,2025-08-25 11:35:02,DELIVERED,SOUTH
45,429,2023-06-12 23:29:10,DELIVERED,CENTRAL
46,121,2024-03-15 04:04:20,PLACED,NORTH
47,510,2023-11-05 14:05:03,DELIVERED,EAST
48,536,2023-11-10 06:55:17,DELIVERED,WEST
49,303,2023-09-07 03:09:40,PLACED,WEST
50,213,2025-12-05 02:06:05,RETURNED,EAST
51,,2023-12-31 06:59:24,PLACED,NORTH
52,114,2025-06-10 21:57:59,DELIVERED,SOUTH
53,93,2025-03-05 21:45:29,PLACED,NORTH
54,263,2025-09-27 22:37:00,SHIPPED,EAST
55,271,2024-12-22 05:30:52,PLACED,SOUTH
56,41,2024-03-27 09:07:46,DELIVERED,EAST
57,437,2023-06-30 01:06:16,PLACED,NORTH
58,10,2023-08-03 23:43:07,DELIVERED,SOUTH
59,337,2024-07-09 09:35:15,CANCELLED,CENTRAL
60,275,2023-05-25 09:28:34,DELIVERED,EAST
61,188,2023-06-26 19:57:52,DELIVERED,WEST
62,279,2024-08-22 04:30:56,DELIVERED,WEST
63,432,2025-10-04 22:45:00,CANCELLED,SOUTH
64,116,2023-07-25 20:23:22,DELIVERED,NORTH
65,164,2023-06-11 02:42:17,DELIVERED,CENTRAL
66,495,2025-06-02 19:44:54,DELIVERED,SOUTH
67,389,2024-07-11 01:32:11,DELIVERED,SOUTH
68,495,2025-01-28 06:32:10,PLACED,WEST
69,452,2023-03-13 09:58:21,PLACED,EAST
70,13,2025-12-30 12:12:19,CANCELLED,CENTRAL
71,591,2025-05-27 17:10:57,SHIPPED,EAST
72,532,2025-03-23 14:41:59,DELIVERED,CENTRAL
73,98,2024-11-03 09:44:22,DELIVERED,SOUTH
74,494,2024-06-21 02:28:30,DELIVERED,WEST
75,153,2025-05-17 08:34:54,CANCELLED,CENTRAL
76,56,2023-01-19 02:09:07,DELIVERED,SOUTH
77,518,2024-12-30 00:21:34,CANCELLED,SOUTH
78,77,2025-02-02 17:57:52,DELIVERED,EAST
79,285,2023-03-20 05:12:38,DELIVERED,CENTRAL
80,388,2024-09-18 11:15:21,CANCELLED,NORTH
81,471,2024-11-21 00:33:41,CANCELLED,WEST
82,91,2025-02-13 07:47:31,DELIVERED,NORTH
83,510,2025-10-11 00:00:00,PLACED,WEST
84,423,2023-02-25 15:54:40,DELIVERED,NORTH
85,94,2025-07-27 14:19:50,RETURNED,EAST
86,521,2025-05-23 13:16:40,SHIPPED,WEST
87,350,2024-07-18 10:23:21,CANCELLED,SOUTH
88,466,2024-05-30 16:50:11,DELIVERED,CENTRAL
89,485,2025-10-17 20:58:09,DELIVERED,WEST
90,117,2023-06-01 08:42:55,DELIVERED,SOUTH
91,3,2024-06-14 06:42:56,DELIVERED,EAST
92,561,2025-03-21 21:00:52,DELIVERED,NORTH
93,47,2023-09-13 00:09:20,DELIVERED,WEST
94,110,2024-01-31 00:35:33,DELIVERED,SOUTH
95,124,2024-09-02 08:14:34,SHIPPED,SOUTH
96,347,2023-06-17 09:47:53,DELIVERED,NORTH
97,127,2024-11-30 20:01:43,DELIVERED,CENTRAL
98,517,2023-07-29 03:35:39,RETURNED,NORTH
99,544,2023-03-17 10:52:50,DELIVERED,WEST
100,600,2025-01-20 05:00:30,RETURNED,SOUTH
101,593,2023-09-27 18:09:04,DELIVERED,SOUTH
102,107,2024-08-24 19:31:36,DELIVERED,CENTRAL
103,330,2025-02-22 02:35:14,CANCELLED,WEST
104,255,2024-03-01 00:23:37,DELIVERED,EAST
105,302,2024-12-04 11:18:41,CANCELLED,SOUTH
106,,2024-10-03 04:15:59,DELIVERED,CENTRAL
107,307,2025-12-25 17:36:12,DELIVERED,EAST
108,567,2025-09-09 16:24:51,SHIPPED,SOUTH
109,298,2025-12-02 14:43:28,DELIVERED,SOUTH
110,183,2025-02-21 18:30:32,DELIVERED,EAST
111,119,2024-07-01 04:22:37,DELIVERED,CENTRAL
112,585,2025-11-02 09:25:28,DELIVERED,CENTRAL
113,293,2024-10-18 00:00:00,CANCELLED,CENTRAL
114,110,2023-02-09 06:12:49,DELIVERED,NORTH
115,58,2023-11-07 12:54:08,SHIPPED,SOUTH
116,294,2025-11-27 14:38:17,SHIPPED,NORTH
117,303,2023-11-13 21:42:17,DELIVERED,NORTH
118,368,2024-12-04 01:56:46,PLACED,CENTRAL
119,230,2025-10-02 00:00:00,DELIVERED,SOUTH
120,524,2025-12-17 09:33:05,SHIPPED,NORTH
121,391,2024-08-25 01:05:04,DELIVERED,EAST
122,566,2023-03-25 13:53:28,PLACED,EAST
123,208,2025-08-22 00:13:00,CANCELLED,WEST
124,231,2025-09-11 13:20:51,DELIVERED,EAST
125,560,2025-07-26 07:53:49,SHIPPED,SOUTH
126,302,2024-11-28 00:00:00,SHIPPED,NORTH
127,,2023-10-18 10:59:31,RETURNED,CENTRAL
128,123,2024-08-08 22:58:09,PLACED,EAST
129,570,2024-02-15 11:33:58,PLACED,CENTRAL
130,262,2023-01-09 18:27:57,DELIVERED,SOUTH
131,41,2023-08-27 18:28:38,RETURNED,CENTRAL
132,53,2025-08-29 11:21:32,DELIVERED,EAST
133,503,2025-06-08 14:56:44,DELIVERED,NORTH
134,326,2025-03-27 04:08:52,SHIPPED,SOUTH
135,534,2023-04-16 21:48:10,DELIVERED,SOUTH
136,426,2025-04-23 00:00:00,DELIVERED,NORTH
137,358,2023-12-10 14:51:43,CANCELLED,EAST
138,340,2024-07-14 11:31:04,SHIPPED,CENTRAL
139,544,2025-01-07 15:57:32,RETURNED,NORTH
140,118,2025-11-05 03:50:01,DELIVERED,SOUTH
141,250,2023-03-03 22:43:53,DELIVERED,EAST
142,391,2023-06-26 02:53:24,DELIVERED,CENTRAL
143,,2024-03-15 08:37:45,PLACED,CENTRAL
144,384,2025-03-09 22:49:53,CANCELLED,WEST
145,499,2023-03-10 02:54:30,SHIPPED,SOUTH
146,329,2025-03-09 07:22:59,PLACED,NORTH
147,172,2025-04-15 17:09:19,DELIVERED,NORTH
148,216,2025-11-07 07:54:17,DELIVERED,SOUTH
149,435,2023-06-11 10:40:20,SHIPPED,WEST
150,74,2025-12-01 17:33:25,SHIPPED,WEST
151,340,2023-02-28 20:30:15,PLACED,NORTH
152,183,2024-01-27 07:48:39,DELIVERED,CENTRAL
153,234,2024-02-06 19:05:41,DELIVERED,WEST
154,415,2024-11-03 00:00:00,DELIVERED,WEST
155,122,2025-04-10 20:04:14,PLACED,CENTRAL
156,65,2025-06-28 17:02:57,PLACED,NORTH
157,367,2025-02-20 03:07:13,PLACED,EAST
158,89,2024-03-13 07:43:51,DELIVERED,WEST
159,391,2024-09-05 00:00:00,CANCELLED,NORTH
160,486,2023-08-31 20:09:41,DELIVERED,SOUTH
161,401,2025-04-27 18:04:58,SHIPPED,SOUTH
162,306,2025-11-18 03:09:56,CANCELLED,EAST
163,12,2025-05-09 20:52:38,CANCELLED,SOUTH
164,127,2023-03-06 21:24:56,PLACED,CENTRAL
165,404,2025-04-14 10:28:47,DELIVERED,NORTH
166,313,2023-11-23 07:20:21,DELIVERED,EAST
