item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,19,4,32145.28,0
2,1,84,5,15145.32,5
3,2,23,2,9387.37,30
4,2,113,3,37476.92,10
5,3,18,3,5750.93,25
6,3,81,2,29399.38,25
7,4,59,4,9158.53,5
8,5,66,5,37464.72,0
9,6,36,1,23135.45,20
10,7,13,5,8314.47,30
11,8,96,5,15938.97,0
12,8,5,5,22895.01,15
13,9,86,1,10109.17,30
14,9,18,1,4948.09,30
15,10,23,5,12049.29,5
16,11,111,4,28565.63,0
17,11,71,3,22156.03,15
18,12,117,5,2406.0,20
19,13,76,1,12161.48,15
20,13,2,4,2770.45,5
21,13,100,5,6928.09,15
22,14,137,4,31069.88,5
23,15,91,2,22763.29,5
24,15,40,-3,16183.36,0
25,16,137,5,34800.07,0
26,17,18,3,5801.17,5
27,17,84,2,15175.15,20
28,18,70,2,20128.58,5
29,19,113,4,28916.97,5
30,19,32,4,20028.3,25
31,20,103,2,11608.19,0
32,20,51,1,17441.86,30
33,21,32,1,29847.05,15
34,21,42,3,8611.27,5
35,21,54,1,30984.75,15
36,22,123,3,11991.94,25
37,23,108,3,28068.13,10
38,23,103,1,10068.93,10
39,23,26,2,31689.73,0
40,24,100,1,7712.73,10
41,24,121,3,25386.99,5
42,25,133,2,8460.08,0
43,25,40,1,19622.9,5
44,26,76,5,14941.19,0
45,26,96,4,14026.19,30
46,27,47,2,1822.88,5
47,27,94,3,24254.47,15
48,27,29,3,18602.15,0
49,28,7,3,15056.01,25
50,29,105,5,31678.21,0
51,29,12,2,2350.11,15
52,29,139,2,28787.86,0
53,29,97,1,36914.8,25
54,30,107,-4,5613.19,0
55,30,138,-3,30872.24,10
56,31,94,4,28106.19,5
57,31,25,2,9917.06,0
58,31,123,2,10501.17,0
59,32,25,5,9348.11,5
60,32,104,3,16724.8,10
61,32,73,3,1042.12,25
62,33,69,2,29522.72,15
63,34,38,5,22568.84,0
64,35,13,2,8105.58,0
65,35,51,2,12299.64,15
66,36,3,5,25219.25,15
67,37,104,4,20462.79,30
68,37,116,4,5821.89,10
69,37,55,5,6080.33,15
70,38,48,5,18156.59,0
71,38,66,3,37697.22,10
72,38,88,1,6219.64,20
73,38,125,1,25006.02,0
74,39,29,3,16152.49,20
75,39,31,5,13452.91,0
76,39,76,5,13352.3,30
77,39,33,2,5148.19,5
78,40,5,5,20536.94,0
79,40,51,5,16745.59,30
80,40,91,1,23007.45,15
81,41,136,2,12280.4,0
82,42,43,5,31704.92,0
83,43,109,2,15730.15,20
84,44,76,4,18266.4,20
85,45,35,1,2906.3,30
86,45,77,3,3048.39,0
87,45,1,1,1401.54,0
88,46,37,-4,13302.96,5
89,47,108,4,31112.99,5
90,48,90,2,7793.89,10
91,48,19,2,32992.16,0
92,49,39,4,21468.28,10
93,49,53,3,3406.06,0
94,50,134,3,122.18,25
95,51,32,5,24490.64,0
96,51,139,3,40899.53,0
97,52,98,4,16482.62,0
98,52,66,4,37625.62,5
99,52,29,5,14565.6,15
100,53,127,4,21640.94,0
101,53,111,3,33596.07,10
102,54,65,-3,38363.92,0
103,54,131,1,2420.87,25
104,54,85,2,13760.41,5
105,54,108,5,29035.19,10
106,55,125,4,16567.1,0
107,55,97,5,35154.99,0
108,55,133,5,6399.71,5
109,56,93,1,26875.17,25
110,56,108,4,30874.81,30
111,56,101,1,6618.94,20
112,57,47,3,1892.61,20
113,57,7,1,20923.22,10
114,58,92,3,35399.0,5
115,58,89,3,1830.58,0
116,59,68,2,31556.05,30
117,60,83,2,32732.81,0
118,60,103,3,9692.64,30
119,60,90,2,5949.02,10
120,61,104,2,21620.53,5
121,61,81,3,39510.9,25
122,61,128,3,26398.34,25
123,62,93,3,22667.43,5
124,62,41,5,26504.03,30
125,62,44,5,28901.11,30
126,63,20,2,25334.48,20
127,64,68,3,36714.57,20
128,64,38,2,24233.81,0
129,65,76,2,15130.4,0
130,65,22,2,16151.78,10
131,65,83,1,28347.15,5
132,66,63,2,163.85,5
133,67,6,4,25005.09,30
134,67,124,5,30622.54,0
135,68,133,5,9124.49,20
136,68,103,3,11314.64,15
137,69,95,2,2608.82,15
138,69,94,1,30443.27,0
139,70,83,2,32117.18,0
140,71,130,1,4433.89,5
141,71,122,3,26784.64,30
142,71,138,2,30721.6,0
143,71,81,4,35941.36,25
144,72,112,1,37194.51,30
145,72,17,1,14041.12,25
146,72,44,2,25648.82,15
147,73,65,4,34476.83,0
148,73,8,4,25350.05,25
149,73,126,3,6637.34,10
150,74,85,5,15002.83,30
151,74,60,4,15912.57,30
152,75,2,5,2725.99,0
153,75,14,5,9788.05,20
154,75,92,2,32288.33,5
155,76,46,1,2727.52,25
156,76,47,1,2128.66,0
157,77,100,4,5408.45,15
158,77,105,2,23711.35,15
159,77,98,2,18595.21,10
160,78,128,1,24487.81,20
161,79,21,4,6541.1,30
162,79,87,3,24042.68,0
163,80,16,2,11480.17,30
164,80,96,-1,12814.32,20
165,80,25,3,8961.24,15
166,81,49,5,2721.57,15
167,81,128,1,33104.93,0
168,81,47,5,2171.6,0
169,82,113,2,36681.82,25
170,83,138,3,37179.97,0
171,83,31,3,11980.95,30
172,84,43,4,31179.05,0
173,84,26,5,30777.5,25
174,85,100,5,5201.36,5
175,85,115,3,10959.09,25
176,85,30,-2,33586.98,0
177,86,92,1,34663.76,25
178,87,26,3,30684.43,30
179,87,134,5,115.25,30
180,87,24,2,22178.17,0
181,88,115,2,11828.53,20
182,89,126,1,6501.71,15
183,90,124,3,35390.08,10
184,90,100,1,6511.38,0
185,91,139,3,38796.47,30
186,91,45,1,20177.2,10
187,92,99,3,17598.82,0
188,92,49,4,3433.82,30
189,93,12,1,2799.08,0
190,93,55,2,5602.87,0
191,94,53,4,3781.04,0
192,95,30,2,31825.14,15
193,95,75,2,29471.43,5
194,95,2,3,3877.47,20
195,96,12,2,2976.99,10
196,96,40,4,20321.33,10
197,97,70,1,16256.8,20
198,97,105,4,26028.0,5
199,98,125,1,22547.92,25
200,98,65,2,33901.79,5
201,98,3,1,26976.98,0
202,98,102,-2,21700.91,25
203,99,43,3,36630.33,10
204,99,66,5,30228.18,0
205,99,102,4,21056.41,5
206,100,23,2,8488.83,0
207,100,128,4,28175.81,0
208,101,48,1,16406.12,15
209,101,22,4,17478.65,25
210,102,11,3,17036.47,0
211,102,129,2,27752.68,10
212,102,49,2,2901.96,5
213,102,54,1,26058.12,0
214,103,58,-3,1234.46,25
215,103,48,1,21542.44,0
216,103,50,2,19736.68,10
217,104,42,-2,9131.63,15
218,105,105,1,30356.84,0
219,105,133,3,7345.37,0
220,105,137,1,31463.62,0
221,106,98,5,13723.23,20
222,106,1,5,1048.7,5
223,107,140,1,28783.7,25
224,107,19,5,29920.23,10
225,108,100,2,6951.74,10
226,108,116,3,8482.27,25
227,109,117,5,2498.77,5
228,110,37,2,14024.65,20
229,110,74,-3,29901.74,15
230,111,77,1,3435.49,30
231,111,37,2,14150.15,0
232,112,91,2,24275.53,20
233,113,116,4,6580.04,15
234,113,114,4,22833.32,30
235,113,100,2,5713.2,5
236,114,50,5,17753.38,25
237,115,105,3,30679.93,5
238,116,101,2,5470.85,30
239,117,106,1,15538.06,15
240,118,41,4,34489.22,20
241,119,53,5,4661.75,10
242,119,99,5,16343.67,20
243,120,51,3,14253.03,0
244,120,39,4,23420.17,30
245,120,106,1,19301.18,0
246,121,14,1,11121.34,15
247,121,85,2,14682.44,5
248,122,79,3,24801.57,15
249,122,17,5,14086.81,25
250,123,75,3,20002.45,30
251,124,41,-2,27837.77,30
252,124,39,5,24469.81,30
253,125,72,2,43359.05,0
254,126,114,1,30305.71,0
255,127,123,5,12936.28,15
256,127,44,4,32940.64,0
257,127,6,4,30495.16,25
258,128,89,3,2278.31,15
259,129,77,2,2897.69,5
260,129,101,3,5036.29,0
261,130,91,1,21410.06,20
262,130,127,2,25298.13,10
263,131,134,4,111.23,0
264,131,7,1,20256.13,10
265,132,68,3,28861.93,25
266,132,115,1,12057.73,0
267,132,111,2,33978.34,0
268,133,98,4,16138.02,0
269,133,52,-3,29273.93,15
270,134,94,4,24293.99,15
271,134,132,-2,3990.67,10
272,135,69,1,37763.8,0
273,136,82,5,11840.67,0
274,137,28,1,22019.6,0
275,137,63,2,173.6,5
276,138,23,1,7962.98,0
277,139,19,5,29688.91,25
278,139,40,3,21198.48,0
279,140,32,1,27241.72,5
280,141,48,2,16148.87,0
281,141,24,4,22587.22,30
282,141,1,2,1246.57,5
283,141,111,-4,30548.92,0
284,142,121,3,34987.14,0
285,143,21,2,7118.08,10
286,144,37,5,14074.36,0
287,144,139,1,30273.76,15
288,145,102,5,17721.03,10
289,145,76,2,15020.86,15
290,146,62,5,25817.8,10
291,147,16,4,13700.37,0
292,147,17,5,13302.51,20
293,148,21,1,7125.8,0
294,148,115,3,13521.65,15
295,149,17,5,10703.98,15
296,150,116,3,7748.19,25
297,151,126,3,6658.97,5
298,152,59,1,10570.74,20
299,152,44,4,37069.67,15
300,153,104,2,21460.41,20
301,153,119,4,15113.52,0
302,153,116,-3,6635.26,0
303,153,40,4,17710.79,20
304,154,45,2,26239.22,0
305,155,121,3,29471.43,0
306,155,39,4,24273.87,10
307,156,72,2,35626.66,25
308,156,59,4,9471.79,0
309,157,91,1,16440.93,15
310,158,123,2,10551.71,25
311,158,75,2,23368.89,0
312,159,87,5,25405.55,0
313,159,80,5,2138.45,15
314,159,110,2,3542.76,25
315,160,17,1,11676.78,20
316,161,60,4,21256.28,30
317,161,81,3,35315.46,15
318,162,50,5,19801.0,5
319,162,33,4,6283.98,0
320,162,83,3,28553.36,0
321,162,59,4,10825.67,15
322,163,69,4,35850.34,10
323,163,18,2,4586.86,0
324,163,116,4,6219.16,0
325,164,84,5,16490.6,0
326,164,92,3,35180.74,25
327,165,138,5,32643.59,10
328,165,52,1,29732.59,5
329,165,49,5,3516.4,10
330,166,64,4,14659.43,0
331,166,97,3,27372.6,0
332,167,108,3,29446.04,0
333,167,21,4,6214.38,30
334,168,41,3,23919.81,10
335,168,114,4,24547.72,25
336,169,83,1,22811.4,15
337,169,5,5,19463.94,0
338,170,81,4,36355.58,20
339,170,97,2,28257.36,0
340,170,7,3,17530.97,0
341,171,34,1,6706.5,0
342,171,128,2,23456.14,0
343,172,61,3,7508.83,15
344,172,24,1,23584.23,0
345,173,135,4,37971.4,20
346,174,40,2,18397.58,0
347,174,23,3,8937.73,0
348,175,14,2,12004.62,0
349,176,57,2,34534.82,0
350,177,102,1,18516.83,10
351,178,127,4,27488.62,0
352,178,7,2,19755.84,5
353,179,90,5,7560.83,30
354,179,21,-2,5620.97,0
355,180,138,3,31972.4,30
356,180,2,4,2783.97,5
357,180,73,5,851.25,5
358,181,31,3,10850.5,25
359,182,132,2,2875.23,0
360,182,104,4,22032.01,5
361,183,77,5,3987.11,15
362,183,55,4,4117.19,5
363,184,65,1,28980.55,5
364,184,56,2,14870.82,5
365,184,131,4,3515.44,20
366,185,101,4,5495.14,10
367,185,43,2,29344.18,0
368,186,1,1,1326.09,0
369,187,78,1,11070.38,5
370,187,114,2,32889.5,15
371,187,98,1,15386.86,0
372,187,41,3,32365.11,0
373,188,78,2,12340.85,5
374,189,8,1,24039.17,5
375,189,122,4,28424.24,30
376,189,45,3,22652.74,25
377,190,17,1,11415.77,20
378,190,40,1,14985.26,20
379,190,56,4,12337.67,0
380,191,17,3,13108.73,5
381,191,72,3,28328.09,10
382,192,49,4,3532.15,0
383,192,61,5,7133.8,20
384,193,60,1,17095.82,0
385,194,95,4,3233.82,30
386,195,96,3,18091.59,15
387,195,139,4,30053.59,20
388,195,38,3,20146.57,15
389,196,75,5,23277.8,20
390,196,38,1,21359.55,0
391,196,127,3,31929.54,25
392,197,43,1,33566.97,0
393,198,88,2,6388.21,0
394,198,139,2,40117.72,20
395,199,29,1,17805.95,0
396,199,129,3,35552.3,0
397,199,140,2,29202.08,15
398,200,126,3,7193.78,15
399,200,30,5,35459.08,30
400,201,90,4,7007.95,0
401,202,58,4,978.99,5
402,203,130,1,3896.88,0
403,204,79,2,26175.85,10
404,205,25,1,8904.22,10
405,205,49,1,2706.11,0
406,206,18,3,4777.86,0
407,207,104,1,21117.67,10
408,208,88,3,4821.47,20
409,208,100,-5,6687.54,25
410,209,126,1,6526.89,15
411,210,8,3,31551.12,20
412,211,109,4,21232.17,20
413,211,90,1,7792.21,0
414,212,122,3,24912.37,0
415,213,25,4,12558.93,5
416,213,117,5,2597.41,0
417,214,83,5,27296.7,0
418,214,80,2,2463.25,0
419,214,116,5,6829.54,30
420,214,56,2,12624.7,20
421,215,13,5,8575.25,30
422,215,65,4,27085.11,25
423,216,76,2,12375.45,15
424,217,20,2,30622.59,5
425,218,2,2,3668.04,0
426,218,100,3,5533.66,15
427,219,127,1,22172.94,0
428,219,59,2,10783.4,0
429,219,114,4,27190.67,20
430,220,6,5,30537.55,15
431,221,122,1,22059.92,30
432,222,109,1,14091.99,10
