order_id,customer_id,order_date,status,delivery_date,_ingested_at,_source_file
O000001,C00138,2023-08-20,delivered,2023-08-23,2026-08-09T06:46:32.194049+00:00,orders.csv
O000002,C00361,2024-09-02,Delivered,2024-09-05,2026-08-09T06:46:32.194049+00:00,orders.csv
O000003,C00321,2023-05-07,Delivered,2023-05-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000004,C00073,2024-03-02,Delivered,2024-03-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000005,C00390,2024-09-29,Delivered,2024-10-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000006,C00204,2023-07-23,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000007,C00265,2024-12-05,DELIVERED,2024-12-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000008,C00128,2023-04-13,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000009,C00350,2024-11-10,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000010,C00385,2024-12-07,Delivered,2024-12-10,2026-08-09T06:46:32.194049+00:00,orders.csv
O000011,C00099,2024-05-09,delivered,2024-05-15,2026-08-09T06:46:32.194049+00:00,orders.csv
O000012,C00013,2023-09-25,Delivered,2023-10-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000013,C00203,2023-09-12,Delivered,2023-09-19,2026-08-09T06:46:32.194049+00:00,orders.csv
O000014,C00189,2024-05-22,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000015,C00319,2023-08-29,Delivered,2023-09-06,2026-08-09T06:46:32.194049+00:00,orders.csv
O000016,C00255,2024-10-14,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000017,C00137,2023-04-10,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000018,C00283,2023-07-20,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000019,C00191,2024-10-10,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000020,C00241,2023-07-01,Shipped,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000021,C00165,2024-05-31,Delivered,2024-06-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000022,C00387,2024-07-14,Delivered,2024-07-18,2026-08-09T06:46:32.194049+00:00,orders.csv
O000023,C00394,2023-12-27,Delivered,2024-01-03,2026-08-09T06:46:32.194049+00:00,orders.csv
O000024,C00371,2023-10-01,Returned,2023-10-04,2026-08-09T06:46:32.194049+00:00,orders.csv
O000025,C00304,2024-10-24,Delivered,2024-10-29,2026-08-09T06:46:32.194049+00:00,orders.csv
O000026,C00335,2023-11-17,Placed,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000027,C00275,2024-09-09,Delivered,2024-09-14,2026-08-09T06:46:32.194049+00:00,orders.csv
O000028,C00295,2024-01-22,Delivered,2024-01-25,2026-08-09T06:46:32.194049+00:00,orders.csv
O000029,C00075,2024-05-17,delivered,2024-05-26,2026-08-09T06:46:32.194049+00:00,orders.csv
O000030,C00159,2023-12-24,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000031,C00192,2024-04-01,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000032,C00229,2023-10-17,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000033,C00066,2024-07-04,PLACED,,2026-08-09T06:46:32.194049+00:00,orders.csv
O000034,C00081,2023-02-25,Delivered,2023-03-07,2026-08-09T06:46:32.194049+00:00,orders.csv
O000035,C00218,2024-09-25,Delivered,2024-09-27,2026-08-09T06:46:32.194049+00:00,orders.csv
O000036,C00167,2024-03-24,Delivered,2024-04-01,2026-08-09T06:46:32.194049+00:00,orders.csv
O000037,C00234,2023-05-28,Delivered,2023-06-03,2026-08-09T06:46:32.194049+00:00,orders.csv
O000038,C00395,2023-01-06,Delivered,2023-01-08,2026-08-09T06:46:32.194049+00:00,orders.csv
O000039,C00379,2024-11-18,Cancelled,,2026-08-09T06:46:32.194049+00:00,orders.csv
