product_id,product_name,category,price,active,_ingested_at,_source_file
P00001,Mini Perfume,Beauty,7519.88,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00002,Lite T-Shirt,Fashion,12959.03,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00003,Pro Cycling Helmet,Sports,3596.33,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00004,Max Cookbook,Books,11435.29,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00005,Pro Planner,Books,10898.5,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00006,Pro Dumbbell Set,Sports,15242.13,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00007,Plus Board Game,Toys,1695.66,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00008,Max Sneakers,Fashion,387.92,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00009,Plus Lipstick,Beauty,13213.04,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00010,Mini Novel,Books,14694.37,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00011,Max T-Shirt,Fashion,3323.46,N,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00012,Max RC Car,Toys,14762.96,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00013,Pro Novel,Books,18175.91,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00014,Classic Smartwatch,Electronics,13181.63,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00015,Pro Cereal Box,Grocery,6246.13,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00016,Ultra Almonds 500g,Grocery,3591.51,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00017,Mini Air Fryer,Home & Kitchen,7236.36,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00018,Plus Blender,Home & Kitchen,10426.0,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00019,Smart Action Figure,Toys,1162.47,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00020,Lite Cricket Bat,Sports,6822.91,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00021,Pro Sunscreen,Beauty,15831.58,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00022,Smart Planner,Books,5634.74,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00023,Mini Planner,Books,3040.09,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00024,Plus Comic Bundle,Books,717.75,N,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00025,Smart Yoga Mat,Sports,8564.03,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00026,Max Lipstick,Beauty,4115.14,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00027,Pro Shampoo,Beauty,12270.99,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00028,Classic Sunscreen,Beauty,5804.91,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00029,Plus Cookware Set,Home & Kitchen,9900.26,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00030,Pro Comic Bundle,Books,11313.56,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00031,Lite Comic Bundle,Books,9096.12,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00032,Mini Perfume,Beauty,2972.8,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00033,Pro Earbuds,Electronics,3874.45,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00034,Smart Face Serum,Beauty,188.21,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00035,Ultra Lipstick,Beauty,11526.61,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00036,Pro Novel,Books,2532.85,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00037,Ultra Blender,Home & Kitchen,15375.83,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00038,Max Planner,Books,4807.61,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00039,Lite Cookbook,Books,11770.16,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00040,Ultra Cereal Box,Grocery,3257.63,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00041,Lite Cookbook,Books,6177.47,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00042,Lite Dumbbell Set,Sports,11714.53,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00043,Pro Coffee Beans,Grocery,3328.5,N,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00044,Plus Comic Bundle,Books,10305.42,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00045,Lite Handbag,Fashion,5431.46,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00046,Ultra Sneakers,Fashion,17265.34,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00047,Ultra Blender,Home & Kitchen,7255.75,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00048,Plus Dumbbell Set,Sports,11151.18,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00049,Max Notebook Set,Books,11581.53,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00050,Smart Power Bank,Electronics,11773.84,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00051,Smart Bed Sheet Set,Home & Kitchen,14130.98,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00052,Classic Comic Bundle,Books,1801.57,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00053,Plus Board Game,Toys,2768.97,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
P00054,Mini T-Shirt,Fashion,516.23,Y,2026-08-09T06:46:32.265726+00:00,products_v2.csv
