customer_id,lifetime_spend,total_orders,last_order_date,spend_segment,activity_segment
C00206,1002073.6499999998,12,2024-12-24,VIP,Active
C00317,892637.9600000001,13,2024-11-18,VIP,Active
C00041,877707.3600000001,12,2024-11-25,VIP,Active
C00176,835995.7,11,2024-09-24,VIP,Cooling Off
C00069,807862.8299999998,14,2024-11-07,VIP,Active
C00354,797272.52,11,2024-11-21,VIP,Active
C00393,773664.7299999999,11,2024-07-14,VIP,Cooling Off
C00189,769336.45,13,2024-07-17,VIP,Cooling Off
C00361,758980.35,11,2024-09-08,VIP,Cooling Off
C00216,739697.8099999999,9,2023-09-13,VIP,At Risk / Churn Candidate
C00330,723128.75,10,2024-10-10,VIP,Active
C00012,714561.2799999999,13,2024-12-20,VIP,Active
C00145,710308.33,9,2024-12-12,VIP,Active
C00174,703022.72,8,2024-06-30,VIP,At Risk / Churn Candidate
C00295,702895.3699999999,11,2024-06-27,VIP,At Risk / Churn Candidate
C00219,696184.17,10,2024-12-29,VIP,Active
C00392,693049.1000000001,12,2024-12-31,VIP,Active
C00161,691235.33,7,2024-09-12,VIP,Cooling Off
C00239,677932.45,10,2024-12-13,VIP,Active
C00275,677797.5499999999,10,2024-12-15,VIP,Active
C00008,673643.27,9,2024-11-30,VIP,Active
C00213,648386.4799999999,10,2024-12-08,VIP,Active
C00196,634694.1,8,2024-12-19,VIP,Active
C00114,624064.1399999999,8,2024-11-03,VIP,Active
C00321,621793.6399999999,10,2024-12-27,VIP,Active
C00255,621201.76,9,2024-07-08,VIP,Cooling Off
C00154,619564.65,8,2024-09-06,VIP,Cooling Off
C00111,618850.1199999999,10,2024-12-22,VIP,Active
C00398,617316.43,12,2024-09-30,VIP,Cooling Off
C00316,616466.89,7,2024-08-01,VIP,Cooling Off
C00276,610979.4,7,2024-08-03,VIP,Cooling Off
C00307,605854.11,9,2024-11-20,VIP,Active
C00339,605301.94,8,2024-12-22,VIP,Active
C00245,604686.72,6,2024-07-15,VIP,Cooling Off
C00266,603765.9799999999,7,2024-10-26,VIP,Active
C00092,603059.1,8,2024-11-24,VIP,Active
C00108,597279.7,8,2024-10-31,VIP,Active
C00035,593418.7500000001,7,2024-12-25,VIP,Active
C00270,589479.7599999999,8,2024-09-23,VIP,Cooling Off
C00349,582166.3099999999,10,2024-12-22,VIP,Active
C00283,578514.44,8,2024-12-31,VIP,Active
C00378,576297.7400000001,9,2024-12-04,VIP,Active
C00194,572442.9099999998,10,2024-11-04,VIP,Active
C00351,567200.37,7,2024-09-26,VIP,Cooling Off
C00121,564935.47,7,2024-11-30,VIP,Active
C00028,562431.56,10,2024-08-14,VIP,Cooling Off
C00313,554031.7799999999,8,2024-12-12,VIP,Active
C00273,553897.16,11,2024-12-26,VIP,Active
C00367,550456.39,8,2024-11-27,VIP,Active
C00066,542024.82,8,2024-08-23,VIP,Cooling Off
C00263,541406.87,10,2024-12-27,VIP,Active
C00264,537681.26,8,2024-10-05,VIP,Active
C00020,536378.0400000002,7,2024-12-13,VIP,Active
C00134,536240.3300000001,9,2024-12-19,VIP,Active
C00075,535204.4400000002,8,2024-08-16,VIP,Cooling Off
C00211,534071.25,10,2024-09-23,VIP,Cooling Off
C00070,533165.0,8,2024-11-02,VIP,Active
C00241,531430.5299999999,9,2024-09-30,VIP,Cooling Off
C00215,529002.0599999999,9,2024-10-23,VIP,Active
C00007,525424.7899999999,7,2024-10-02,VIP,Active
C00107,524078.89,7,2024-11-01,VIP,Active
C00127,520134.45,9,2024-11-25,VIP,Active
C00353,517652.55999999994,8,2024-10-19,VIP,Active
C00171,516295.83999999985,5,2024-10-30,VIP,Active
C00372,515449.98000000004,7,2024-11-15,VIP,Active
C00061,514648.69000000006,7,2024-12-17,VIP,Active
C00348,508733.85000000015,9,2024-08-16,VIP,Cooling Off
C00278,508437.87,10,2024-12-20,VIP,Active
C00328,508235.57999999996,9,2024-11-02,VIP,Active
C00040,507830.82,8,2024-09-04,VIP,Cooling Off
C00315,507639.64,6,2024-12-18,VIP,Active
C00380,502539.83,5,2024-08-30,VIP,Cooling Off
C00006,501821.26,8,2024-12-27,VIP,Active
C00229,499475.67,7,2024-11-03,VIP,Active
C00399,498908.3300000001,9,2024-09-16,VIP,Cooling Off
C00271,496100.61999999994,9,2024-11-14,VIP,Active
C00051,494627.85,6,2024-06-22,VIP,At Risk / Churn Candidate
C00024,494303.24000000005,7,2024-10-30,VIP,Active
C00214,494092.4199999999,6,2024-09-05,VIP,Cooling Off
C00046,493405.0,7,2024-11-11,VIP,Active
C00146,493366.52999999997,6,2024-09-18,VIP,Cooling Off
C00054,492973.13000000006,6,2024-08-10,VIP,Cooling Off
C00306,492277.11,8,2024-10-27,VIP,Active
C00116,490207.23999999993,9,2024-12-01,VIP,Active
C00225,490179.83999999997,9,2024-11-12,VIP,Active
C00376,489559.36000000004,6,2024-06-09,VIP,At Risk / Churn Candidate
C00166,487876.9799999999,6,2024-07-12,VIP,Cooling Off
C00202,484142.72,5,2024-03-01,VIP,At Risk / Churn Candidate
C00345,480004.33999999997,7,2024-06-24,VIP,At Risk / Churn Candidate
C00252,478903.20000000007,7,2024-09-27,VIP,Cooling Off
C00259,478583.70000000007,6,2024-10-24,VIP,Active
C00246,477452.26999999996,7,2024-10-05,VIP,Active
C00139,477029.33999999985,7,2024-12-10,VIP,Active
C00184,472357.93,8,2023-11-15,VIP,At Risk / Churn Candidate
C00197,471575.03,8,2024-12-27,VIP,Active
C00163,464296.99,8,2024-12-03,VIP,Active
C00289,463252.00000000006,9,2024-10-17,VIP,Active
C00173,462807.88,4,2024-10-20,VIP,Active
C00016,462804.75,8,2024-11-18,VIP,Active
C00015,460712.00000000006,5,2024-12-05,VIP,Active
C00280,459279.7800000001,9,2024-08-20,VIP,Cooling Off
C00223,457403.13,8,2024-08-15,VIP,Cooling Off
C00217,456561.68000000005,7,2024-12-23,VIP,Active
C00123,456458.82999999996,9,2024-12-14,VIP,Active
C00397,456448.42000000004,8,2024-11-03,VIP,Active
C00327,455923.0099999999,7,2024-10-11,VIP,Active
C00382,451691.31,7,2024-12-31,VIP,Active
C00226,450225.26999999996,8,2024-12-05,VIP,Active
C00087,449955.51000000007,9,2024-12-02,VIP,Active
C00014,446605.61,8,2024-09-17,VIP,Cooling Off
C00115,445505.04000000004,8,2024-11-29,VIP,Active
C00099,444016.12,9,2024-05-09,VIP,At Risk / Churn Candidate
C00337,443870.48000000004,11,2024-11-06,VIP,Active
C00021,442124.66,7,2024-05-21,VIP,At Risk / Churn Candidate
C00220,441451.9100000001,9,2024-11-19,VIP,Active
C00243,439440.37,6,2024-12-26,VIP,Active
C00222,435819.7000000001,7,2023-12-31,VIP,At Risk / Churn Candidate
C00110,434799.67000000004,7,2024-11-30,VIP,Active
C00144,434600.6000000001,7,2024-07-21,VIP,Cooling Off
C00128,434485.64000000013,6,2024-12-29,VIP,Active
C00169,431703.95000000007,6,2024-05-30,VIP,At Risk / Churn Candidate
C00395,431271.08999999997,8,2024-11-28,VIP,Active
C00359,428389.10000000003,5,2024-06-23,VIP,At Risk / Churn Candidate
C00302,425130.02,6,2024-12-02,VIP,Active
C00373,424209.0,6,2024-11-04,VIP,Active
C00044,422787.76000000007,7,2024-06-27,VIP,At Risk / Churn Candidate
C00292,420631.42000000004,6,2024-12-03,VIP,Active
C00254,420070.87,6,2024-10-29,VIP,Active
C00221,414990.18000000005,7,2024-08-27,VIP,Cooling Off
C00368,414109.33,5,2024-11-11,VIP,Active
C00314,413567.73999999993,7,2024-07-27,VIP,Cooling Off
C00284,413422.24000000005,6,2024-12-28,VIP,Active
C00022,412912.91000000003,7,2024-08-27,VIP,Cooling Off
C00249,412631.14999999997,7,2024-10-28,VIP,Active
C00332,408303.69,6,2024-03-05,VIP,At Risk / Churn Candidate
C00331,407895.1900000001,8,2024-12-29,VIP,Active
C00377,406278.31,7,2024-08-17,VIP,Cooling Off
C00350,406033.7799999999,4,2024-11-10,VIP,Active
C00088,405988.49000000005,4,2024-07-24,VIP,Cooling Off
C00078,404962.2499999999,6,2024-12-29,VIP,Active
C00253,404366.8500000001,6,2024-11-07,VIP,Active
C00342,404259.71,5,2024-11-11,VIP,Active
C00305,402008.54999999993,5,2024-11-20,VIP,Active
C00152,401142.77,8,2024-07-02,VIP,At Risk / Churn Candidate
C00080,398093.75999999995,5,2024-10-19,VIP,Active
C00084,397292.93,7,2024-03-12,VIP,At Risk / Churn Candidate
C00319,396814.35000000003,8,2024-08-11,VIP,Cooling Off
C00396,396140.75,6,2024-08-28,VIP,Cooling Off
C00023,394712.48,4,2024-12-04,VIP,Active
C00064,393376.75999999995,9,2024-11-18,VIP,Active
C00160,393210.42000000004,5,2024-11-16,VIP,Active
C00085,392990.4,7,2024-12-13,VIP,Active
C00148,392384.00000000006,5,2024-03-21,VIP,At Risk / Churn Candidate
C00242,391940.13,6,2024-12-16,VIP,Active
C00151,389864.76,8,2024-12-27,VIP,Active
C00299,386519.07999999996,4,2024-11-19,VIP,Active
C00178,385969.88,6,2024-04-05,VIP,At Risk / Churn Candidate
C00031,384667.52999999997,5,2024-09-07,VIP,Cooling Off
C00097,384508.24,8,2024-06-02,VIP,At Risk / Churn Candidate
C00311,382557.6700000001,7,2024-12-29,VIP,Active
C00059,382546.75000000006,7,2024-10-06,VIP,Active
C00049,382459.42999999993,7,2024-10-12,VIP,Active
C00247,379545.30000000005,8,2024-11-14,VIP,Active
C00077,378460.00000000006,10,2024-08-16,VIP,Cooling Off
C00391,377289.68,8,2024-12-27,VIP,Active
C00203,377220.39,7,2024-08-09,VIP,Cooling Off
C00188,375714.9499999999,5,2024-09-25,VIP,Cooling Off
C00004,375639.58,6,2024-12-11,VIP,Active
C00143,375510.00999999995,8,2024-11-30,VIP,Active
C00157,374241.6500000001,6,2024-04-09,VIP,At Risk / Churn Candidate
C00076,373460.64999999997,8,2024-09-20,VIP,Cooling Off
C00338,372935.71,8,2024-12-26,VIP,Active
C00320,371273.98000000004,6,2024-05-17,VIP,At Risk / Churn Candidate
C00165,368129.06000000006,8,2024-05-31,VIP,At Risk / Churn Candidate
C00228,366398.50999999995,6,2024-08-11,VIP,Cooling Off
C00058,365805.51000000007,5,2024-11-06,VIP,Active
C00234,365314.97,6,2024-11-04,VIP,Active
C00170,364336.12,5,2024-11-29,VIP,Active
C00282,363270.1,4,2024-10-25,VIP,Active
C00190,362626.67999999993,5,2024-12-23,VIP,Active
C00301,362216.11,5,2024-09-29,VIP,Cooling Off
C00094,360940.7,9,2024-10-04,VIP,Active
C00333,356693.42000000004,6,2024-11-26,VIP,Active
C00394,354891.98999999993,10,2024-10-31,VIP,Active
C00082,354709.88,5,2024-12-17,VIP,Active
C00089,353924.58,6,2024-12-05,VIP,Active
C00159,353832.11,8,2024-12-15,VIP,Active
C00251,353498.11000000004,5,2024-07-31,VIP,Cooling Off
C00100,352156.6599999999,5,2024-12-10,VIP,Active
C00138,351860.31999999995,5,2024-07-09,VIP,Cooling Off
C00326,351205.87999999995,6,2024-08-23,VIP,Cooling Off
C00322,350503.17,7,2024-12-12,VIP,Active
C00294,349139.32999999996,5,2024-10-26,VIP,Active
C00181,348771.82999999996,7,2024-10-30,VIP,Active
C00098,347768.36,6,2024-12-20,VIP,Active
C00125,347135.47,7,2024-08-15,VIP,Cooling Off
C00091,345992.73,7,2024-10-21,VIP,Active
C00308,345657.49,6,2024-12-06,VIP,Active
C00105,344000.6099999999,6,2024-09-18,VIP,Cooling Off
C00118,343586.7,5,2024-08-23,VIP,Cooling Off
C00072,342883.00999999995,6,2024-06-01,VIP,At Risk / Churn Candidate
C00050,341482.07,5,2024-11-10,VIP,Active
C00227,340872.50999999995,6,2024-12-13,VIP,Active
C00199,337189.79,4,2024-11-04,VIP,Active
C00153,335277.52,4,2024-05-31,VIP,At Risk / Churn Candidate
C00180,334603.01,5,2024-08-28,VIP,Cooling Off
C00140,333332.28,8,2024-11-12,VIP,Active
C00067,330112.5200000001,7,2024-12-30,VIP,Active
C00101,327545.86,7,2024-09-24,VIP,Cooling Off
C00358,326605.29,5,2024-08-16,VIP,Cooling Off
C00003,323420.18999999994,5,2024-01-16,VIP,At Risk / Churn Candidate
C00060,322315.37,6,2024-09-19,VIP,Cooling Off
C00312,320603.13999999996,5,2024-05-17,VIP,At Risk / Churn Candidate
C00129,317932.13000000006,5,2024-07-12,VIP,Cooling Off
C00065,317861.80999999994,7,2024-11-18,VIP,Active
C00113,313915.98,3,2023-09-27,VIP,At Risk / Churn Candidate
C00232,311103.82,6,2024-07-28,VIP,Cooling Off
C00323,310441.15,6,2024-01-28,VIP,At Risk / Churn Candidate
C00011,310118.28,6,2024-09-05,VIP,Cooling Off
C00224,310013.72000000003,6,2024-09-11,VIP,Cooling Off
C00137,309801.14999999997,5,2024-08-29,VIP,Cooling Off
C00042,306356.52,6,2024-08-26,VIP,Cooling Off
C00375,303474.84,8,2024-05-15,VIP,At Risk / Churn Candidate
C00335,302582.99,5,2023-11-17,VIP,At Risk / Churn Candidate
C00388,301054.05,7,2024-12-18,VIP,Active
C00285,300358.09,5,2024-01-26,VIP,At Risk / Churn Candidate
C00026,300019.17,6,2024-04-30,VIP,At Risk / Churn Candidate
C00156,298854.93000000005,4,2024-09-17,VIP,Cooling Off
C00147,298515.53,7,2024-11-07,VIP,Active
C00268,298220.43,6,2023-11-06,VIP,At Risk / Churn Candidate
C00297,297187.07,5,2024-06-07,VIP,At Risk / Churn Candidate
C00179,296629.89,5,2024-12-24,VIP,Active
C00387,295347.81,4,2024-10-26,VIP,Active
C00126,295091.50999999995,4,2024-06-27,VIP,At Risk / Churn Candidate
C00056,294328.0200000001,5,2024-12-26,VIP,Active
C00386,294287.91000000003,5,2024-05-02,VIP,At Risk / Churn Candidate
C00047,291545.83999999997,7,2024-07-30,VIP,Cooling Off
C00300,291285.63,6,2024-11-07,VIP,Active
C00281,289872.15,4,2023-12-13,VIP,At Risk / Churn Candidate
C00390,289311.70000000007,9,2024-12-28,VIP,Active
C00265,289140.36,6,2024-12-05,VIP,Active
C00124,288797.72000000003,6,2024-11-06,VIP,Active
C00119,288773.81,6,2024-08-27,VIP,Cooling Off
C00135,288451.21,7,2024-09-11,VIP,Cooling Off
C00068,286947.88,6,2024-12-21,VIP,Active
C00186,286195.85,5,2024-12-29,VIP,Active
C00005,286094.27999999997,6,2024-10-22,VIP,Active
C00053,284930.48,4,2024-04-11,VIP,At Risk / Churn Candidate
C00112,284033.10000000003,5,2024-12-30,VIP,Active
C00296,283298.42,6,2024-08-21,VIP,Cooling Off
C00363,283011.7,7,2024-09-25,VIP,Cooling Off
C00205,282212.11000000004,7,2024-07-21,VIP,Cooling Off
C00362,282092.08999999997,5,2024-10-30,VIP,Active
C00343,281363.26,8,2024-11-19,VIP,Active
C00185,280123.29,4,2024-10-08,VIP,Active
C00286,278500.58,6,2024-01-22,VIP,At Risk / Churn Candidate
C00017,278355.55999999994,6,2024-12-11,VIP,Active
C00336,277567.65,6,2024-12-03,VIP,Active
C00043,277366.23,3,2024-04-11,VIP,At Risk / Churn Candidate
C00288,277217.76,7,2024-05-25,VIP,At Risk / Churn Candidate
C00329,274689.14,5,2024-06-24,VIP,At Risk / Churn Candidate
C00192,274223.75,3,2024-03-12,VIP,At Risk / Churn Candidate
C00168,274167.6,4,2024-04-30,VIP,At Risk / Churn Candidate
C00318,272996.11,3,2024-06-21,VIP,At Risk / Churn Candidate
C00048,270728.3,4,2024-12-27,VIP,Active
C00340,268752.43000000005,4,2024-11-16,VIP,Active
C00032,267586.75,5,2024-04-16,VIP,At Risk / Churn Candidate
C00133,266886.19999999995,4,2024-09-03,VIP,Cooling Off
C00172,265981.55,5,2024-12-11,VIP,Active
C00210,265413.18,6,2024-10-10,VIP,Active
C00149,265245.66000000003,5,2024-09-30,VIP,Cooling Off
C00025,262361.69999999995,6,2024-12-05,VIP,Active
C00073,261354.99000000002,7,2024-09-10,VIP,Cooling Off
C00162,261161.7,3,2024-09-13,VIP,Cooling Off
C00204,260548.34000000005,5,2023-12-04,VIP,At Risk / Churn Candidate
C00381,259250.03000000003,5,2024-07-25,VIP,Cooling Off
C00013,259217.13000000003,6,2024-06-25,VIP,At Risk / Churn Candidate
C00218,259153.44,4,2024-09-25,VIP,Cooling Off
C00167,258885.6,5,2024-06-22,VIP,At Risk / Churn Candidate
C00385,257286.99,7,2024-12-07,VIP,Active
C00334,253977.53999999998,6,2024-09-12,VIP,Cooling Off
C00117,253541.83000000002,7,2024-12-26,VIP,Active
C00356,250026.53000000003,5,2024-03-20,VIP,At Risk / Churn Candidate
C00102,249093.55000000002,9,2024-11-04,VIP,Active
C00238,247723.86000000002,6,2024-12-29,VIP,Active
C00209,246126.87000000002,5,2024-11-12,VIP,Active
C00019,245708.80000000002,5,2024-09-26,VIP,Cooling Off
C00290,244893.92,6,2024-11-11,VIP,Active
C00158,244382.14,7,2024-12-01,VIP,Active
C00344,244201.97000000003,5,2024-10-16,VIP,Active
C00370,243758.29000000004,5,2024-12-22,VIP,Active
C00250,242715.85,5,2024-11-29,VIP,Active
C00304,240921.79000000004,6,2024-12-18,VIP,Active
C00109,240317.06,6,2024-10-30,VIP,Active
C00010,239108.62,6,2024-10-13,VIP,Active
C00262,238458.50999999995,5,2024-10-26,VIP,Active
C00341,237634.19999999995,5,2024-10-15,VIP,Active
C00193,237239.53000000003,4,2024-11-24,VIP,Active
C00310,234906.76,5,2024-11-13,VIP,Active
C00212,233180.05000000002,4,2024-07-30,VIP,Cooling Off
C00132,231985.00999999998,5,2024-12-29,VIP,Active
C00033,231870.28,3,2024-04-13,VIP,At Risk / Churn Candidate
C00347,230543.42000000004,3,2024-08-28,VIP,Cooling Off
C00357,226993.65000000002,4,2024-11-13,VIP,Active
C00231,226126.6,4,2024-10-17,VIP,Active
C00182,220468.91999999995,6,2024-11-04,VIP,Active
C00001,219697.83,6,2024-06-24,VIP,At Risk / Churn Candidate
C00038,219568.76000000004,6,2024-12-19,VIP,Active
C00141,219480.43,5,2024-12-23,VIP,Active
C00195,219471.47,7,2024-12-30,VIP,Active
C00034,219186.96999999994,5,2024-07-11,VIP,Cooling Off
C00233,215623.84999999998,4,2024-10-26,VIP,Active
C00272,213526.31999999998,4,2024-09-25,VIP,Cooling Off
C00150,211722.66999999998,7,2024-10-18,VIP,Active
C00364,209826.94999999998,4,2024-05-13,VIP,At Risk / Churn Candidate
C00269,208363.12000000002,3,2024-07-24,VIP,Cooling Off
C00164,205560.1,7,2024-11-29,VIP,Active
C00201,205361.33,8,2024-06-14,VIP,At Risk / Churn Candidate
C00071,205210.73,5,2024-01-03,VIP,At Risk / Churn Candidate
C00261,200414.5,3,2024-06-03,VIP,At Risk / Churn Candidate
C00037,199767.91999999998,2,2023-09-27,VIP,At Risk / Churn Candidate
C00055,199675.22000000003,8,2024-12-09,VIP,Active
C00384,198689.02000000002,5,2023-11-16,VIP,At Risk / Churn Candidate
C00063,198279.73,7,2024-09-18,VIP,Cooling Off
C00279,197631.99000000002,5,2024-08-04,VIP,Cooling Off
C00079,197514.96,5,2024-08-30,VIP,Cooling Off
C00258,196170.21000000002,2,2024-05-05,VIP,At Risk / Churn Candidate
C00052,195587.71000000002,4,2024-07-23,VIP,Cooling Off
C00002,195559.42,3,2024-10-31,VIP,Active
C00355,193262.68,2,2024-06-23,VIP,At Risk / Churn Candidate
C00191,191397.97,3,2024-10-10,VIP,Active
C00177,190954.63,5,2024-10-28,VIP,Active
C00083,189903.32,2,2024-04-26,VIP,At Risk / Churn Candidate
C00240,188763.07000000004,4,2024-12-24,VIP,Active
C00030,186493.67,6,2024-12-06,VIP,Active
C00136,184131.13000000003,2,2023-10-09,VIP,At Risk / Churn Candidate
C00369,183964.88,4,2024-05-22,VIP,At Risk / Churn Candidate
C00389,182304.48000000004,2,2023-12-24,VIP,At Risk / Churn Candidate
C00260,178195.42,4,2024-06-18,VIP,At Risk / Churn Candidate
C00090,177872.25999999998,5,2024-10-01,VIP,Cooling Off
C00235,176348.27999999997,7,2024-09-11,VIP,Cooling Off
C00244,176208.84,4,2024-09-13,VIP,Cooling Off
C00062,175325.41999999998,5,2024-11-29,VIP,Active
C00325,175258.66,3,2024-10-08,VIP,Active
C00298,174757.65,6,2024-10-11,VIP,Active
C00009,174496.58,6,2024-12-11,VIP,Active
