order_id,customer_id,order_date,status
O002726,C00382,2024-12-31,Delivered
O001070,C00277,2024-12-31,Delivered
O000783,C00392,2024-12-31,Delivered
O002620,C00067,2024-12-30,Delivered
O000833,C00112,2024-12-30,Delivered
O001081,C00128,2024-12-29,Delivered
O002250,C00132,2024-12-29,Delivered
O001747,C00311,2024-12-29,Delivered
O002564,C00027,2024-12-28,Delivered
O002391,C00390,2024-12-28,Delivered
O001604,C00006,2024-12-27,Delivered
O001162,C00391,2024-12-27,Delivered
O000700,C00321,2024-12-27,Delivered
O001852,C00151,2024-12-27,Delivered
O000399,C00263,2024-12-27,Delivered
O002496,C00273,2024-12-26,Delivered
O001765,C00338,2024-12-26,Delivered
O000775,C00117,2024-12-26,Delivered
O002364,C00056,2024-12-26,Delivered
O000935,C00243,2024-12-26,Delivered
O002469,C00048,2024-12-25,Delivered
O002392,C00035,2024-12-25,Delivered
O001759,C00112,2024-12-25,Delivered
O001735,C00240,2024-12-24,Delivered
O001662,C00206,2024-12-24,Delivered
O001740,C00179,2024-12-24,Delivered
O002543,C00078,2024-12-24,Delivered
O001536,C00141,2024-12-23,Delivered
O000864,C00190,2024-12-23,Delivered
O001580,C00035,2024-12-23,Delivered
O000772,C00217,2024-12-23,Delivered
O002871,C00111,2024-12-22,Delivered
O001009,C00370,2024-12-22,Delivered
O001109,C00339,2024-12-22,Delivered
O001571,C00278,2024-12-20,Delivered
O001760,C00098,2024-12-20,Delivered
O001528,C00038,2024-12-19,Delivered
O000549,C00196,2024-12-19,Delivered
O000891,C00388,2024-12-18,Delivered
O002042,C00141,2024-12-18,Delivered
O002971,C00061,2024-12-17,Delivered
O001628,C00082,2024-12-17,Delivered
O001630,C00242,2024-12-16,Delivered
O000544,C00275,2024-12-15,Delivered
O000116,C00371,2024-12-14,Delivered
O000476,C00123,2024-12-14,Delivered
O001146,C00239,2024-12-13,Delivered
O002647,C00020,2024-12-13,Delivered
O000455,C00227,2024-12-13,Delivered
O000332,C00145,2024-12-12,Delivered
O000619,C00322,2024-12-12,Delivered
O000084,C00009,2024-12-11,Delivered
O002639,C00172,2024-12-11,Delivered
O000186,C00219,2024-12-11,Delivered
O000364,C00017,2024-12-11,Delivered
O002707,C00139,2024-12-10,Delivered
O002588,C00123,2024-12-08,Delivered
O000010,C00385,2024-12-07,Delivered
O001486,C00388,2024-12-07,Delivered
O002812,C00324,2024-12-06,Delivered
O002798,C00308,2024-12-06,Delivered
O000007,C00265,2024-12-05,Delivered
O001208,C00025,2024-12-05,Delivered
O001845,C00226,2024-12-05,Delivered
O000970,C00023,2024-12-04,Delivered
O002006,C00360,2024-12-04,Delivered
O001013,C00378,2024-12-04,Delivered
O001810,C00336,2024-12-03,Delivered
O001544,C00331,2024-12-02,Delivered
O002548,C00087,2024-12-02,Delivered
O001144,C00302,2024-12-02,Delivered
O001521,C00106,2024-12-02,Delivered
O001023,C00158,2024-12-01,Delivered
O000773,C00116,2024-12-01,Delivered
O002190,C00200,2024-12-01,Delivered
O000432,C00121,2024-11-30,Delivered
O000723,C00226,2024-11-30,Delivered
O000525,C00008,2024-11-30,Delivered
O001782,C00062,2024-11-29,Delivered
O001059,C00164,2024-11-29,Delivered
O001857,C00115,2024-11-29,Delivered
O002185,C00395,2024-11-28,Delivered
O001650,C00374,2024-11-28,Delivered
O002387,C00367,2024-11-27,Delivered
O001834,C00041,2024-11-25,Delivered
O000660,C00127,2024-11-25,Delivered
O002996,C00012,2024-11-25,Delivered
