revenue_month,total_revenue,num_orders
2023-01,5604462.27,104
2023-02,5448174.81,90
2023-03,5532079.3,103
2023-04,5917664.79,109
2023-05,6729413.07,105
2023-06,5670115.11,94
2023-07,6426111.88,110
2023-08,7189828.27,112
2023-09,5583735.4,99
2023-10,5140317.07,92
2023-11,5403382.32,91
2023-12,6010638.91,100
2024-01,5609604.83,101
2024-02,5309032.69,94
2024-03,6409363.99,106
2024-04,4417968.05,81
2024-05,7661057.88,126
2024-06,6318749.34,106
2024-07,5895662.65,99
2024-08,6127553.61,106
2024-09,5639112.61,96
2024-10,5021736.82,85
2024-11,6198507.32,101
2024-12,5853183.87,108
