order_id,customer_id,order_date,status,delivery_date
O000001,C00138,2023-08-20,delivered,2023-08-23
O000002,C00361,2024-09-02,Delivered,2024-09-05
O000003,C00321,2023-05-07,Delivered,2023-05-14
O000004,C00073,2024-03-02,Delivered,2024-03-10
O000005,C00390,2024-09-29,Delivered,2024-10-01
O000006,C00204,2023-07-23,Shipped,
O000007,C00265,2024-12-05,DELIVERED,2024-12-07
O000008,C00128,2023-04-13,Cancelled,
O000009,C00350,2024-11-10,Shipped,
O000010,C00385,2024-12-07,Delivered,2024-12-10
O000011,C00099,2024-05-09,delivered,2024-05-15
O000012,C00013,2023-09-25,Delivered,2023-10-04
O000013,C00203,2023-09-12,Delivered,2023-09-19
O000014,C00189,2024-05-22,Placed,
O000015,C00319,2023-08-29,Delivered,2023-09-06
O000016,C00255,2024-10-14,Cancelled,
O000017,C00137,2023-04-10,Shipped,
O000018,C00283,2023-07-20,Shipped,
O000019,C00191,2024-10-10,Shipped,
O000020,C00241,2023-07-01,Shipped,
O000021,C00165,2024-05-31,Delivered,2024-06-04
O000022,C00387,2024-07-14,Delivered,2024-07-18
O000023,C00394,2023-12-27,Delivered,2024-01-03
O000024,C00371,2023-10-01,Returned,2023-10-04
O000025,C00304,2024-10-24,Delivered,2024-10-29
O000026,C00335,2023-11-17,Placed,
O000027,C00275,2024-09-09,Delivered,2024-09-14
O000028,C00295,2024-01-22,Delivered,2024-01-25
O000029,C00075,2024-05-17,delivered,2024-05-26
O000030,C00159,2023-12-24,Cancelled,
O000031,C00192,2024-04-01,Cancelled,
O000032,C00229,2023-10-17,Cancelled,
O000033,C00066,2024-07-04,PLACED,
O000034,C00081,2023-02-25,Delivered,2023-03-07
O000035,C00218,2024-09-25,Delivered,2024-09-27
O000036,C00167,2024-03-24,Delivered,2024-04-01
O000037,C00234,2023-05-28,Delivered,2023-06-03
O000038,C00395,2023-01-06,Delivered,2023-01-08
O000039,C00379,2024-11-18,Cancelled,
O000040,C00284,2023-08-29,DELIVERED,2023-09-04
O000041,C00321,2023-01-05,Shipped,
O000042,C00276,2023-03-25,CANCELLED,
O000043,C00157,2024-02-19,shipped,
O000044,C00280,2024-01-08,Placed,
O000045,C00151,2024-11-06,Delivered,2024-11-12
O000046,C00266,2024-10-26,Shipped,
O000047,C00190,2023-03-21,Delivered,2023-03-25
O000048,C00117,2023-03-20,Delivered,2023-03-23
O000049,C00176,2023-04-27,Delivered,2023-05-07
O000050,C00094,2023-07-04,Returned,2023-07-14
O000051,C00328,2023-07-06,Delivered,2023-07-12
O000052,C00267,2023-01-17,Delivered,2023-01-24
O000053,C00182,2023-02-09,delivered,2023-02-12
O000054,C00312,2023-02-14,Delivered,2023-02-22
O000055,C00040,2024-02-23,Shipped,
O000056,C00080,2024-01-20,Shipped,
O000057,C00278,2024-07-19,Delivered,2024-07-28
O000058,C00123,2023-04-13,Delivered,2023-04-22
O000059,C00119,2023-04-04,Delivered,2023-04-06
O000060,C00076,2024-09-20,Delivered,2024-09-30
O000061,C00011,2024-09-05,Delivered,2024-09-08
O000062,C00118,2024-08-23,Delivered,2024-08-25
O000063,C00319,2024-08-11,Delivered,2024-08-13
O000064,C00398,2024-01-22,Delivered,2024-01-28
