order_item_id,order_id,product_id,quantity,unit_price,line_total
OI0000001,O000001,P00039,3,11770.16,35310.479999999996
OI0000002,O000002,P00046,4,15720.6,62882.4
OI0000003,O000002,P00097,2,721.52,1443.04
OI0000004,O000002,P00025,2,8564.03,17128.06
OI0000005,O000002,P00022,1,5634.74,5634.74
OI0000006,O000003,P00099,1,10238.47,10238.47
OI0000007,O000003,P00069,1,4360.73,4360.73
OI0000008,O000003,P00080,1,8989.55,8989.55
OI0000009,O000004,P00089,1,5537.28,5537.28
OI0000010,O000004,P00088,1,11981.85,11981.85
OI0000011,O000005,P00037,1,15375.83,15375.83
OI0000012,O000006,P00046,4,15720.6,62882.4
OI0000013,O000006,P00091,1,4946.59,4946.59
OI0000014,O000007,P00020,1,6822.91,6822.91
OI0000015,O000007,P00012,1,14499.23,14499.23
OI0000016,O000007,P00100,2,6083.97,12167.94
OI0000017,O000007,P00066,3,7639.92,22919.760000000002
OI0000018,O000008,P00103,4,632.72,2530.88
OI0000019,O000008,P00087,1,811.76,811.76
OI0000021,O000009,P00080,1,8989.55,8989.55
OI0000022,O000009,P00035,3,11526.61,34579.83
OI0000023,O000009,P00113,4,13810.57,55242.28
OI0000024,O000009,P00094,4,13171.07,52684.28
OI0000025,O000010,P00109,2,3646.7,7293.4
OI0000026,O000011,P00062,4,5900.1,23600.4
OI0000027,O000011,P00118,4,5621.04,22484.16
OI0000028,O000012,P00086,3,4550.54,13651.619999999999
OI0000029,O000012,P00112,5,7810.47,39052.35
OI0000030,O000013,P00002,2,12959.03,25918.06
OI0000031,O000014,P00043,1,3075.89,3075.89
OI0000032,O000014,P00036,5,2532.85,12664.25
OI0000033,O000015,P00058,1,2681.24,2681.24
OI0000034,O000015,P00041,4,6177.47,24709.88
OI0000036,O000015,P00064,1,605.62,605.62
OI0000037,O000016,P00044,2,10305.42,20610.84
OI0000038,O000016,P00047,3,7255.75,21767.25
OI0000039,O000016,P00106,5,14600.94,73004.7
OI0000040,O000016,P00007,3,1695.66,5086.9800000000005
OI0000041,O000017,P00071,1,12968.25,12968.25
OI0000042,O000017,P00067,2,3120.12,6240.24
OI0000043,O000017,P00048,4,11151.18,44604.72
OI0000044,O000018,P00059,2,15594.5,31189.0
OI0000045,O000018,P00106,1,14600.94,14600.94
OI0000047,O000019,P00076,1,2930.49,2930.49
OI0000048,O000019,P00065,4,7681.42,30725.68
OI0000049,O000019,P00018,4,10426.0,41704.0
OI0000050,O000020,P00050,5,11773.84,58869.2
OI0000051,O000021,P00038,2,5516.66,11033.32
OI0000052,O000021,P00058,5,2681.24,13406.199999999999
OI0000053,O000021,P00104,5,13741.36,68706.8
OI0000054,O000022,P00088,2,11981.85,23963.7
OI0000055,O000022,P00045,2,5431.46,10862.92
OI0000056,O000022,P00118,3,5621.04,16863.12
OI0000057,O000023,P00113,1,13810.57,13810.57
OI0000058,O000023,P00109,1,3646.7,3646.7
OI0000059,O000023,P00055,1,5599.57,5599.57
OI0000060,O000024,P00027,1,12270.99,12270.99
OI0000061,O000024,P00097,4,721.52,2886.08
OI0000062,O000024,P00070,5,2586.86,12934.300000000001
OI0000063,O000025,P00119,4,14522.12,58088.48
OI0000064,O000026,P00080,4,8989.55,35958.2
OI0000065,O000026,P00112,3,7810.47,23431.41
OI0000066,O000027,P00024,2,661.99,1323.98
OI0000067,O000028,P00001,2,7519.88,15039.76
OI0000068,O000028,P00043,3,3075.89,9227.67
OI0000069,O000028,P00060,5,10636.45,53182.25
OI0000070,O000029,P00067,5,3120.12,15600.599999999999
OI0000071,O000029,P00009,5,13213.04,66065.20000000001
OI0000072,O000030,P00047,5,7255.75,36278.75
OI0000073,O000030,P00038,5,5516.66,27583.3
OI0000074,O000030,P00028,1,5804.91,5804.91
OI0000075,O000031,P00006,3,15242.13,45726.39
OI0000076,O000031,P00088,1,11981.85,11981.85
OI0000077,O000032,P00066,4,7639.92,30559.68
OI0000078,O000032,P00103,2,632.72,1265.44
OI0000079,O000032,P00058,1,2681.24,2681.24
OI0000080,O000033,P00107,4,3734.57,14938.28
OI0000081,O000033,P00014,1,13181.63,13181.63
OI0000082,O000033,P00027,2,12270.99,24541.98
OI0000083,O000033,P00069,3,4360.73,13082.189999999999
OI0000084,O000034,P00053,4,2768.97,11075.88
OI0000085,O000034,P00050,1,11773.84,11773.84
OI0000086,O000034,P00058,1,2681.24,2681.24
OI0000087,O000035,P00038,3,5516.66,16549.98
OI0000088,O000036,P00018,4,10426.0,41704.0
OI0000089,O000036,P00096,5,2944.05,14720.25
OI0000090,O000037,P00071,5,12968.25,64841.25
OI0000091,O000038,P00028,5,5804.91,29024.55
OI0000092,O000038,P00053,2,2768.97,5537.94
OI0000093,O000038,P00116,3,15959.01,47877.03
OI0000094,O000039,P00083,1,14812.87,14812.87
OI0000095,O000039,P00071,2,12968.25,25936.5
OI0000096,O000039,P00010,4,14694.37,58777.48
