payment_id,order_id,amount,method,payment_status,payment_date
PM000001,O000001,35310.48,Net Banking,Success,2023-08-20
PM000002,O000002,87088.24,COD,Success,2024-09-02
PM000003,O000003,23588.75,Debit Card,Failed,2023-05-07
PM000004,O000004,17519.13,Credit Card,Refunded,2024-03-02
PM000005,O000005,15375.83,COD,Success,2024-09-29
PM000006,O000007,56409.84,Net Banking,Success,2024-12-05
PM000007,O000008,3342.64,COD,Failed,2023-04-13
PM000008,O000009,151495.94,Net Banking,Pending,2024-11-10
PM000009,O000010,7293.4,Net Banking,Success,2024-12-07
PM000010,O000011,46084.56,Debit Card,Failed,2024-05-09
PM000011,O000012,52703.97,COD,Success,2023-09-25
PM000012,O000013,25918.06,Wallet,Success,2023-09-12
PM000013,O000014,15740.14,Credit Card,Success,2024-05-22
PM000014,O000015,27996.74,Credit Card,Success,2023-08-29
PM000015,O000016,120469.77,UPI,Success,2024-10-14
PM000016,O000017,63813.21,Debit Card,Success,2023-04-10
PM000017,O000018,45789.94,UPI,Success,2023-07-20
PM000018,O000019,75360.17,UPI,Success,2024-10-10
PM000019,O000020,58869.2,Debit Card,Refunded,2023-07-01
PM000020,O000021,93146.32,Credit Card,Success,2024-05-31
PM000021,O000022,51689.74,Net Banking,Success,2024-07-14
PM000022,O000023,23056.84,Credit Card,Success,2023-12-27
PM000023,O000024,28091.37,Net Banking,Success,2023-10-01
PM000024,O000025,58088.48,Debit Card,Success,2024-10-24
PM000025,O000026,59389.61,Credit Card,Success,2023-11-17
PM000026,O000027,1323.98,Wallet,Success,2024-09-09
PM000027,O000028,77449.68,COD,Success,2024-01-22
PM000028,O000029,81665.8,COD,Pending,2024-05-17
PM000029,O000030,69666.96,Net Banking,Success,2023-12-24
PM000030,O000032,34506.36,Credit Card,Success,2023-10-17
PM000031,O000034,25530.96,Wallet,Success,2023-02-25
PM000032,O000035,16549.98,COD,Success,2024-09-25
PM000033,O000036,56424.25,COD,Success,2024-03-24
PM000034,O000037,64841.25,UPI,Success,2023-05-28
PM000035,O000038,82439.52,Credit Card,Success,2023-01-06
PM000036,O000039,116076.83,Wallet,Success,2024-11-18
PM000037,O000040,81294.25,Credit Card,Success,2023-08-29
PM000038,O000041,97182.32,Wallet,Success,2023-01-05
PM000039,O000042,30429.11,Credit Card,Success,2023-03-25
PM000040,O000043,143446.21,COD,Refunded,2024-02-19
PM000041,O000044,16722.88,Net Banking,Success,2024-01-08
PM000042,O000045,94287.32,Debit Card,Success,2024-11-06
PM000043,O000046,42332.45,Credit Card,Success,2024-10-26
PM000044,O000047,52839.24,Wallet,Success,2023-03-21
PM000045,O000048,18473.94,Net Banking,Success,2023-03-20
PM000046,O000050,50561.9,Credit Card,Failed,2023-07-04
PM000047,O000051,45254.24,Net Banking,Success,2023-07-06
PM000048,O000052,12160.36,Credit Card,Failed,2023-01-17
PM000049,O000053,42541.52,Debit Card,Refunded,2023-02-09
PM000050,O000054,45693.92,Debit Card,Success,2023-02-14
PM000051,O000055,38619.7,COD,Success,2024-02-23
PM000052,O000056,145053.91,Credit Card,Success,2024-01-20
PM000053,O000057,60663.1,Net Banking,Refunded,2024-07-19
PM000054,O000058,63326.32,Net Banking,Success,2023-04-13
PM000055,O000059,69049.74,Wallet,Refunded,2023-04-04
PM000056,O000060,10935.3,COD,Success,2024-09-20
PM000057,O000061,82961.04,COD,Success,2024-09-05
PM000058,O000062,46790.38,Credit Card,Success,2024-08-23
PM000059,O000063,85921.35,Credit Card,Refunded,2024-08-11
PM000060,O000064,85897.09,Net Banking,Failed,2024-01-22
PM000061,O000065,5404.71,Wallet,Success,2023-12-28
PM000062,O000066,24031.64,Wallet,Success,2024-05-02
