product_id,product_name,category,price,active
P00001,Mini Perfume,Beauty,7519.88,True
P00002,Lite T-Shirt,Fashion,12959.03,True
P00003,Pro Cycling Helmet,Sports,3596.33,True
P00004,Max Cookbook,Books,11435.29,True
P00005,Pro Planner,Books,10898.5,True
P00006,Pro Dumbbell Set,Sports,15242.13,True
P00007,Plus Board Game,Toys,1695.66,True
P00008,Max Sneakers,Fashion,387.92,True
P00009,Plus Lipstick,Beauty,13213.04,True
P00010,Mini Novel,Books,14694.37,True
P00011,Max T-Shirt,Fashion,3323.46,True
P00012,Max RC Car,Toys,14499.23,True
P00013,Pro Novel,Books,15087.03,True
P00014,Classic Smartwatch,Electronics,13181.63,True
P00015,Pro Cereal Box,Grocery,6246.13,True
P00016,Ultra Almonds 500g,Grocery,3591.51,True
P00017,Mini Air Fryer,Home & Kitchen,7245.98,True
P00018,Plus Blender,Home & Kitchen,10426.0,True
P00019,Smart Action Figure,Toys,1162.47,True
P00020,Lite Cricket Bat,Sports,6822.91,True
P00021,Pro Sunscreen,Beauty,15831.58,True
P00022,Smart Planner,Books,5634.74,True
P00023,Mini Planner,Books,3040.09,True
P00024,Plus Comic Bundle,Books,661.99,True
P00025,Smart Yoga Mat,Sports,8564.03,True
P00026,Max Lipstick,Beauty,4115.14,True
P00027,Pro Shampoo,Beauty,12270.99,True
P00028,Classic Sunscreen,Beauty,5804.91,True
P00029,Plus Cookware Set,Home & Kitchen,9560.81,True
P00030,Pro Comic Bundle,Books,11313.56,True
P00031,Lite Comic Bundle,Books,9096.12,True
P00032,Mini Perfume,Beauty,2972.8,True
P00033,Pro Earbuds,Electronics,3874.45,True
P00034,Smart Face Serum,Beauty,209.8,True
P00035,Ultra Lipstick,Beauty,11526.61,True
P00036,Pro Novel,Books,2532.85,True
P00037,Ultra Blender,Home & Kitchen,15375.83,True
P00038,Max Planner,Books,5516.66,True
P00039,Lite Cookbook,Books,11770.16,True
P00040,Ultra Cereal Box,Grocery,2951.4,True
P00041,Lite Cookbook,Books,6177.47,True
P00042,Lite Dumbbell Set,Sports,11714.53,True
P00043,Pro Coffee Beans,Grocery,3075.89,True
P00044,Plus Comic Bundle,Books,10305.42,True
P00045,Lite Handbag,Fashion,5431.46,True
P00046,Ultra Sneakers,Fashion,15720.6,True
P00047,Ultra Blender,Home & Kitchen,7255.75,True
P00048,Plus Dumbbell Set,Sports,11151.18,True
P00049,Max Notebook Set,Books,11581.53,True
P00050,Smart Power Bank,Electronics,11773.84,True
P00051,Smart Bed Sheet Set,Home & Kitchen,14130.98,True
P00052,Classic Comic Bundle,Books,1801.57,True
P00053,Plus Board Game,Toys,2768.97,True
P00054,Mini T-Shirt,Fashion,516.23,True
P00055,Max Yoga Mat,Sports,5599.57,True
P00056,Max Almonds 500g,Grocery,8842.33,True
P00057,Smart Denim Jacket,Fashion,11330.17,True
P00058,Classic Almonds 500g,Grocery,2681.24,True
P00059,Plus Denim Jacket,Fashion,15594.5,True
P00060,Mini Coffee Beans,Grocery,10636.45,True
P00061,Max Dumbbell Set,Sports,983.24,True
P00062,Pro RC Car,Toys,5900.1,True
P00063,Mini Green Tea Pack,Grocery,13216.58,True
P00064,Max RC Car,Toys,605.62,True
P00065,Max Air Fryer,Home & Kitchen,7681.42,True
P00066,Classic Denim Jacket,Fashion,7639.92,True
P00067,Classic Yoga Mat,Sports,3120.12,True
P00068,Lite Olive Oil 1L,Grocery,7242.25,True
P00069,Smart Cricket Bat,Sports,4360.73,True
P00070,Pro Cycling Helmet,Sports,2586.86,True
P00071,Ultra T-Shirt,Fashion,12968.25,True
P00072,Plus Coffee Beans,Grocery,8945.91,True
P00073,Classic Coffee Beans,Grocery,15455.92,True
P00074,Plus Board Game,Toys,7723.94,True
P00075,Pro Handbag,Fashion,8132.2,True
P00076,Smart Blender,Home & Kitchen,2930.49,True
P00077,Plus Cookware Set,Home & Kitchen,2192.74,True
P00078,Classic Green Tea Pack,Grocery,3389.32,True
P00079,Mini Table Lamp,Home & Kitchen,5251.04,True
P00080,Classic T-Shirt,Fashion,8989.55,True
P00081,Smart Notebook Set,Books,14690.16,True
P00082,Classic Laptop Stand,Electronics,1976.8,True
P00083,Max Cookware Set,Home & Kitchen,14812.87,True
P00084,Ultra Denim Jacket,Fashion,14069.72,True
P00085,Smart Cricket Bat,Sports,9236.97,True
P00086,Lite Building Blocks,Toys,4550.54,True
P00087,Classic Table Lamp,Home & Kitchen,811.76,True
P00088,Pro Cookbook,Books,11981.85,True
P00089,Pro Running Shoes,Sports,5537.28,True
P00090,Mini Running Shoes,Sports,13515.98,True
P00091,Lite Sneakers,Fashion,4946.59,True
P00092,Mini Puzzle Set,Toys,11714.03,True
P00093,Smart Sneakers,Fashion,3538.97,True
P00094,Ultra Cereal Box,Grocery,13171.07,True
P00095,Mini Blender,Home & Kitchen,11410.2,True
P00096,Pro Almonds 500g,Grocery,2944.05,True
P00097,Plus Face Serum,Beauty,721.52,True
P00098,Plus Bluetooth Speaker,Electronics,4527.84,True
P00099,Classic Board Game,Toys,10238.47,True
P00100,Plus T-Shirt,Fashion,6083.97,True
P00101,Smart RC Car,Toys,9471.71,True
P00102,Lite Notebook Set,Books,13433.93,True
P00103,Mini Yoga Mat,Sports,632.72,True
P00104,Plus Smartwatch,Electronics,13741.36,True
P00105,Mini Lipstick,Beauty,10494.08,True
P00106,Smart Earbuds,Electronics,14600.94,True
P00107,Pro Table Lamp,Home & Kitchen,3734.57,True
P00108,Classic Running Shoes,Sports,14347.63,True
P00109,Mini Planner,Books,3646.7,True
P00110,Classic Cycling Helmet,Sports,9433.9,True
P00111,Ultra Laptop Stand,Electronics,9070.02,True
P00112,Max Running Shoes,Sports,7810.47,True
P00113,Ultra Notebook Set,Books,13810.57,True
P00114,Plus Running Shoes,Sports,2567.88,True
P00115,Classic Face Serum,Beauty,10635.38,True
P00116,Smart Blender,Home & Kitchen,15959.01,True
P00117,Classic Cricket Bat,Sports,6333.74,True
P00118,Plus Laptop Stand,Electronics,5621.04,True
P00119,Smart Sunscreen,Beauty,14522.12,True
P00120,Mini Comic Bundle,Books,13556.62,True
